timestamp_utc,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms,http_code,speed_bps,size_bytes
2026-05-22T14:35:08Z,1.790000,14.367000,67.674000,108.348000,108.558000,200,72495,7870
2026-05-22T14:35:10Z,3.128000,14.702000,67.452000,116.123000,116.408000,200,67607,7870
2026-05-22T14:35:13Z,2.926000,15.704000,78.462000,119.011000,119.329000,200,65952,7870
2026-05-22T14:35:15Z,4.139000,18.168000,78.108000,127.813000,128.010000,200,61479,7870
2026-05-22T14:35:17Z,2.523000,15.057000,79.025000,115.435000,115.808000,200,67957,7870
2026-05-22T14:35:19Z,3.145000,17.072000,71.497000,123.184000,123.459000,200,63745,7870
2026-05-22T14:35:21Z,1.028000,14.158000,80.846000,137.649000,138.085000,200,56993,7870
2026-05-22T14:35:23Z,1.025000,14.997000,68.194000,113.387000,113.524000,200,69324,7870
2026-05-22T14:35:26Z,1.238000,12.689000,64.846000,104.621000,105.014000,200,74942,7870
2026-05-22T14:35:28Z,.852000,13.573000,60.980000,97.378000,97.725000,200,80532,7870
