timestamp_utc,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms,http_code,speed_bps,size_bytes
2026-05-22T14:27:20Z,1.091000,13.934000,73.644000,118.830000,119.206000,200,66020,7870
2026-05-22T14:27:22Z,2.376000,14.423000,78.729000,131.717000,131.903000,200,59665,7870
2026-05-22T14:27:24Z,4.079000,16.365000,88.036000,136.203000,136.526000,200,57644,7870
2026-05-22T14:27:26Z,1.170000,17.476000,82.783000,133.146000,133.356000,200,59014,7870
2026-05-22T14:27:28Z,.756000,16.433000,74.744000,126.400000,126.649000,200,62140,7870
2026-05-22T14:27:31Z,3.951000,16.943000,84.316000,138.404000,138.608000,200,56778,7870
2026-05-22T14:27:33Z,1.091000,18.078000,76.010000,137.534000,137.673000,200,57164,7870
2026-05-22T14:27:35Z,3.120000,14.024000,90.141000,140.472000,140.634000,200,55960,7870
2026-05-22T14:27:37Z,1.392000,14.131000,64.574000,111.521000,111.783000,200,70404,7870
2026-05-22T14:27:39Z,.927000,14.454000,59.695000,97.318000,97.534000,200,80689,7870
